Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGM,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FTM,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFG%,TS%,hAST%,TOV%,OER,PER
53,Jamaree Bouyea,PG,23,MIA,4,0,65,3.3,7.2,3.9,0.462,1.1,2.8,0.4,2.2,4.4,0.5,0.6,1.1,0.5,0.5,0.6,2.2,2.8,2.2,2.2,1.1,2.2,2.8,8.3,65.27777778,53.73907413,18.14807177,18.14807177,0.838807479,0.06
53,Jamaree Bouyea,PG,23,WAS,1,0,6,0,6,6,0,0,6,0,0,0,,0,0,0,,0,6,6,0,0,0,0,6,0,50,0,0,0,0,-1
54,Tony Bradley,C,25,CHI,12,0,33,6.5,13.1,6.6,0.5,3.3,5.5,0.6,3.3,7.6,0.429,4.4,4.4,0,1,1.1,10.9,12,1.1,1.1,1.1,1.1,2.2,20.7,70.61068702,68.13693219,6.325474411,6.325474411,1.279357231,0.593939394
55,Malaki Branham,SG,19,SAS,66,32,1550,6.2,14.2,8,0.44,1.8,5.9,0.302,4.5,8.3,0.539,1.3,1.6,0.3,0.829,0.7,3.6,4.2,2.9,0.8,0.2,1.8,2.7,15.6,64.43661972,52.13903743,14.75076297,9.155645982,0.933014354,0.002967742
56,Jarrell Brantley,PF,26,UTA,4,0,39,7.4,12.9,5.5,0.571,3.7,8.3,0.444,3.7,4.6,0.8,1.8,1.8,0,1,0.9,4.6,5.5,2.8,0,1.8,1.8,2.8,20.3,89.53488372,73.7913486,15.25469899,9.806592209,1.308833011,0.330769231
57,Christian Braun,SG,21,DEN,76,6,1181,4.4,8.8,4.4,0.495,1,2.9,0.354,3.3,5.9,0.565,1.2,2,0.8,0.625,1.5,4.1,5.5,1.8,1.2,0.5,1.1,3.1,11,66.47727273,56.41025641,14.22924901,8.695652174,1.018518519,0.005249788
58,Mikal Bridges,SF-SG,26,TOT,83,83,2963,7.2,15.4,8.2,0.468,2.1,5.4,0.382,5.2,10,0.514,3.8,4.3,0.5,0.895,1,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,64.28571429,58.19119966,14.83646173,6.74384624,1.077780727,0.003543706
58,Mikal Bridges,SF,26,PHO,56,56,2040,6.2,13.5,7.3,0.463,1.8,4.6,0.387,4.5,8.9,0.503,2.8,3.1,0.3,0.897,1,3.3,4.3,3.5,1.1,0.8,1.4,2,17,62.96296296,56.77074637,17.61227827,7.04491131,1.043264805,0.004656863
58,Mikal Bridges,SG,26,BRK,27,27,923,9.3,19.6,10.3,0.475,2.7,7.1,0.376,6.7,12.6,0.531,6.2,7,0.8,0.894,0.9,3.8,4.7,2.8,1,0.6,1.9,1.7,27.5,65.56122449,59.97818975,10.13574661,6.877828054,1.115618661,0.013651138
59,Oshae Brissett,PF,24,IND,65,2,1083,4.1,10.6,6.5,0.386,1.6,5.2,0.31,2.5,5.5,0.457,3.5,4.8,1.3,0.717,2.1,5.2,7.2,1.5,1.1,0.4,1.1,2.6,13.2,63.20754717,51.24223602,9.689922481,7.105943152,0.952380952,0.007294552
60,Malcolm Brogdon,PG,30,BOS,67,0,1744,7.3,15.1,7.8,0.484,2.7,6.1,0.444,4.6,9,0.51,3.3,3.8,0.5,0.87,0.9,4.9,5.8,5.1,0.9,0.4,2,2.3,20.6,68.54304636,60.92871931,21.24557384,8.331597584,1.095162148,0.007396789
61,Dillon Brooks,SF,27,MEM,73,73,2214,6.4,16.1,9.7,0.396,2.3,7.1,0.326,4,9,0.451,2,2.5,0.5,0.779,0.7,3.2,4,3.1,1.1,0.3,1.7,3.9,17,61.80124224,49.16847433,14.03508772,7.696661007,0.898282695,0.001535682
62,Bruce Brown,SF,26,DEN,80,31,2280,5.7,11.7,6,0.483,1.4,4,0.358,4.2,7.7,0.548,1.8,2.4,0.6,0.758,1,4.2,5.2,4.2,1.4,0.8,1.9,3,14.6,65.81196581,56.85358255,22.17529039,10.03167899,0.994550409,0.003947368
63,Greg Brown III,PF,21,POR,16,0,93,4.3,10.8,6.5,0.393,0.4,2.7,0.143,3.9,8.1,0.476,1.9,4.6,2.7,0.417,0.8,6.6,7.4,1.2,1.5,1.9,2.3,5,10.8,52.31481481,41.5864459,7.279344859,13.95207765,0.711931444,0.022580645
64,Jaylen Brown,SF,26,BOS,67,67,2405,10.2,20.7,10.5,0.491,2.4,7.3,0.335,7.7,13.4,0.576,3.9,5.1,1.2,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.7,66.90821256,57.73597146,11.85536455,9.823016343,1.031087082,0.004656965
65,Kendall Brown,SG,19,IND,6,0,40,3.6,6.3,2.7,0.571,0,0.9,0,3.6,5.4,0.667,0.9,1.8,0.9,0.5,1.8,3.6,5.4,2.7,3.6,0,1.8,8.1,8.1,64.28571429,56.60377358,23.16602317,15.44401544,0.909090909,0.0675
